,Offset Project Operator,Project Name,Project Type,State,tot,Project.Owner,Website,City,State2
266,"New Energy One, LLC",New Energy One Livestock Project,Livestock,ID,192984,New Energy One,,Twin Falls,ID
274,Northeast Wilderness Trust,New Forests' Forest Carbon Partners – Northeast Wilderness Trust – Howland Research Forest,Forest,ME,7762,Northeast Wilderness Trust,www.newildernesstrust.org/wild-carbon/mitigation/,Penobscot,ME
276,"Open Sky Ranch, Inc.",Open Sky Ranch Dairy Digester,Livestock,CA,62741,Open Sky Ranch Dairy,0,Fresno ,CA
286,"Pacific Rim Energy, LLC",Pacific Rim Dairy Digester,Livestock,CA,69292,Pacific Rim,0,Tulare ,CA
284,"Origin Climate, Inc.",Pagel’s Ponderosa Dairy,Livestock,WI,9000,3Degrees,https://3degreesinc.com/,Kewaunee,WI
279,Origin Climate Inc. (formerly TerraPass Inc.),Pagel's Ponderosa Dairy,Livestock,WI,26876,3Degrees,https://3degreesinc.com/,Kewaunee,WI
287,"Pagel's Ponderosa Dairy, LLC",Pagel's Ponderosa Dairy Methane Reduction Project,Livestock,WI,70109,3Degrees,https://3degreesinc.com/,Kewaunee,WI
154,Environmental Credit Corp.,Patterson Farms,Livestock,NY,7682,ClimeCo,https://climeco.com/,Auburn,NY
75,ClimeCo Corporation,Patterson Farms COP,Livestock,NY,18283,ClimeCo,https://climeco.com/,Auburn,NY
299,"Pure Chem Separation, LP",PCS Domestic ODS Destruction Project #6,ODS,AR,328872,A-Gas,https://www.agas.com/,El Dorado,AR
300,"Pure Chem Separation, LP",PCS Domestic ODS Destruction Project #7,ODS,AR,72653,A-Gas,https://www.agas.com/,El Dorado,AR
290,"Perfect Score Technologies, LLC",Perfect Cycle ODS-1,ODS,OH,52500,Perfect Score Technologies,www.perfectscore.com/,Bowling Green,OH
291,"Perfect Score Technologies, LLC",Perfect Cycle ODS-2,ODS,OH,42233,Perfect Score Technologies,www.perfectscore.com/,Bowling Green,OH
292,"Perfect Score Technologies, LLC",Perfect Cycle ODS-3,ODS,OH,52930,Perfect Score Technologies,www.perfectscore.com/,Bowling Green,OH
293,"Perfect Score Too, LTD",Perfect Cycle ODS-4,ODS,OH,65097,Perfect Score Technologies,www.perfectscore.com/,Bowling Green,OH
441,Yurok Tribe,Phase 1 Sustainable Forest Project,Forest,CA,548363,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Eureka,CA
295,"Pixley Biogas, LLC","Pixley Biogas, LLC",Livestock,CA,22375,Pixley Biogas,0,Pixley,CA
4,"3 Degrees Group, Inc.",Port of Tillamook Bay Regional Anaerobic Digester,Livestock,OR,20133,A-Gas,https://www.agas.com/,Tillamook,OR
301,"Pure Chem Separation, LP",Pure Chem Domestic ODS Destruction Project #2,ODS,AR,27437,A-Gas,https://www.agas.com/,El Dorado,AR
302,"Pure Chem Separation, LP",Pure Chem Domestic ODS Destruction Project #3,ODS,AR,55730,A-Gas,https://www.agas.com/,El Dorado,AR
303,"Pure Chem Separation, LP",Pure Chem Domestic ODS Destruction Project #4,ODS,AR,30061,A-Gas,https://www.agas.com/,El Dorado,AR
304,"Pure Chem Separation, LP",Pure Chem Domestic ODS Destruction Project #5,ODS,AR,233587,A-Gas,https://www.agas.com/,El Dorado,AR
339,Refrigerant Exchange Corp.,Refex ODS California 2010,ODS,OH,12510,Refridgerant Exchange Corp,www.refex.com/,Bowling Green,OH
335,"Reclamation Technologies, Inc.",RemTec International ODS Destruction Domestic Project #1,ODS,OH,210613,Refridgerant Exchange Corp,www.refex.com/,Bowling Green,OH
336,"Reclamation Technologies, Inc.",RemTec International ODS Destruction Domestic Project #2,ODS,TX,160623,RemTec,http://remtec.com/,,TX
337,"Reclamation Technologies, Inc.",RemTec ODS Destruction Domestic Project #2,ODS,OH,156882,RemTec,http://remtec.com/,Bowling Green,OH
340,"RES Agriculture NC1, LLC",RES Ag – DM2-1 LLC,Livestock,NC,28735,RES Agriculture,,Magnolia,NC
341,"RES Agriculture NC1, LLC",RES Ag – DM4-3 LLC,Livestock,NC,42270,RES Agriculture,,Magnolia,NC
155,Environmental Credit Corp.,Ridgecrest Dairy,Livestock,NY,1177,ClimeCo,https://climeco.com/,Auburn,NY
342,"Rips Redwoods, LLC",Rips Redwoods,Forest,CA,122277,Rips Redwoods,0,Stewarts Point,CA
49,"Camco International Group, Inc.",Riverview Farm Anaerobic Digester Project,Livestock,MN,131206,Camco International,https://www.camco.energy/,Morris ,MN
344,"Riverview, LLP",Riverview Farm Anaerobic Digester Project,Livestock,MN,36268,Riverview LLP,https://www.riverviewllp.com/,Morris ,MN
346,"Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC - Ruckman",Livestock,MO,3968,Roeslein Alternative Energy,roesleinalternativeenergy.com/,Milan,MO
347,"Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC – South Meadow",Livestock,MO,64859,Roeslein Alternative Energy,roesleinalternativeenergy.com/,Milan,MO
408,"UW-Oshkosh Foundation Rosendale Biodigester, LLC",Rosendale Anaerobic Digester,Livestock,WI,94701,Rosendale Dairy,0,Pickett,WI
350,Round Valley Indian Tribes,Round Valley Indian Tribes Improved Forest Management Project,Forest,CA,597657,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Mendocino,CA
306,"RapRec Refrigerants, Inc.",RR 2012 1,ODS,OH,171993,"RapRec Refrigerants,",https://www.raprec.com/,Bowling Green,OH
307,"RapRec Refrigerants, Inc.",RR ACR 2013,ODS,OH,56124,"RapRec Refrigerants,",https://www.raprec.com/,Bowling Green,OH
308,"RapRec Refrigerants, Inc.",RR ACR 2014,ODS,OH,315794,"RapRec Refrigerants,",https://www.raprec.com/,Bowling Green,OH
356,Sierra Pacific Industries,Sacramento Canyon ARB001,Forest,CA,662284,Sierra Pacific Industries,https://www.spi-ind.com/,Redding,CA
280,Origin Climate Inc. (formerly TerraPass Inc.),Scenic View Dairy,Livestock,MI,25000,3Degrees,https://3degreesinc.com/,Fennville ,MI
285,"Origin Climate, Inc.",Scenic View Dairy I,Livestock,MI,33812,3Degrees,https://3degreesinc.com/,Fennville ,MI
352,"Scenic View Dairy, LLC",Scenic View Dairy Methane Reduction Project,Livestock,MI,72805,3Degrees,https://3degreesinc.com/,Fennville ,MI
360,"Solvay Chemicals, Inc.","Solvay Chemicals, Inc. Waste Mine Methane Project",MMC,WY,744290,Solvay Chemicals Inc.,https://www.solvay.us/en/index.html,Green River,WY
357,"Solar & Renewables Management, LLC",Southern Generation,Livestock,AZ,11606,Solar & Renewables Management,0,Buckeye,AZ
76,ClimeCo Corporation,Spruce Haven Farm COP,Livestock,NY,17820,ClimeCo,https://climeco.com/,Scipio Center,NY
9,"3Degrees Group, LLC",Statz B Farm Anaerobic Digester,Livestock,WI,20009,Statz Bros Inc,https://www.facebook.com/statzbrothers,Sun Prairie,WI
361,"Statz Bros., Inc.",Statz B Farm Anaerobic Digester,Livestock,WI,15226,Statz Bros Inc,https://www.facebook.com/statzbrothers,Sun Prairie,WI
10,"3Degrees Group, LLC",Statz Bros. Home Farm Anaerobic Digester,Livestock,WI,10926,Statz Bros Inc,https://www.facebook.com/statzbrothers,Sun Prairie,WI
362,"Statz Bros., Inc.",Statz Bros. Home Farm Anaerobic Digester,Livestock,WI,9196,Statz Bros Inc,https://www.facebook.com/statzbrothers,Sun Prairie,WI
50,"Camco International Group, Inc.","Storms Hog Power, LLC",Livestock,NC,17339,Camco International,https://www.camco.energy/,Bladenboro,NC
363,"Storms Hog Power Partners, LLC","Storms Hog Power, LLC",Livestock,NC,28775,Camco International,https://www.camco.energy/,Bladenboro,NC
358,"Solar & Renewables Management, LLC",Stotz Southern Generation,Livestock,AZ,74777,Solar & Renewables Management,0,Buckeye,AZ
364,Sunny Knoll Farms,Sunny Knoll Farms Anaerobic Digester,Livestock,NY,25793,Sunny Knoll Farms,www.sunnyknollecofarm.com/,Rochester,NY
77,ClimeCo Corporation,Sunnyside Farms COP,Livestock,NY,76970,ClimeCo,https://climeco.com/,Scipio Center,NY
78,ClimeCo Corporation,Sunnyside Farms Inc,Livestock,NY,34436,ClimeCo,https://climeco.com/,Scipio Center,NY
366,"Swiss Valley Farms, LLC",Swiss Valley Farms,Livestock,NY,6519,Swiss Valley Farms,https://www.swissvalley.com/,Warsaw,NY
51,"Camco International Group, Inc.","Synergy Biogas, LLC",Livestock,NY,14925,Camco International,https://www.camco.energy/,Covington,NY
367,"Synergy Biogas, LLC","Synergy Biogas, LLC",Livestock,NY,28262,Camco International,https://www.camco.energy/,Covington,NY
79,ClimeCo Corporation,T&M Bos Dairy,Livestock,IN,40033,ClimeCo,https://climeco.com/,Fair Oaks,IN
156,Environmental Credit Corp.,T&M Bos Dairy,Livestock,IN,10993,ClimeCo,https://climeco.com/,Fair Oaks,IN
80,ClimeCo Corporation,T&M Herrema Dairy,Livestock,IN,48986,ClimeCo,https://climeco.com/,Fair Oaks,IN
157,Environmental Credit Corp.,T&M Herrema Dairy,Livestock,IN,15242,ClimeCo,https://climeco.com/,Fair Oaks,IN
81,ClimeCo Corporation,T&M Hidden View Dairy,Livestock,IN,33678,ClimeCo,https://climeco.com/,Rensselaer,IN
158,Environmental Credit Corp.,T&M Hidden View Dairy,Livestock,IN,14031,ClimeCo,https://climeco.com/,Rensselaer,IN
82,ClimeCo Corporation,T&M Windy Ridge Dairy,Livestock,IN,87176,ClimeCo,https://climeco.com/,Fair Oaks,IN
159,Environmental Credit Corp.,T&M Windy Ridge Dairy,Livestock,IN,28626,ClimeCo,https://climeco.com/,Fair Oaks,IN
58,"Cargill, Inc.",The B6 Dairy Farm BioFactory(R) Project,Livestock,ID,21992,"Cargill, Inc",https://www.cargill.com/sustainability/priorities/climate-change,Jerome ,ID
59,"Cargill, Inc.",The B6 Dairy Farm BioFactory® Project,Livestock,ID,24746,"Cargill, Inc",https://www.cargill.com/sustainability/priorities/climate-change,Jerome ,ID
13,"Ag Power DCD, LLC",The Dry Creek Dairy Biofactory Project,Livestock,ID,151703,Camco International,https://www.camco.energy/,Hansen,ID
15,"AgPower DCD, LLC",The Dry Creek Dairy Biofactory Project,Livestock,ID,50088,Camco International,https://www.camco.energy/,Hansen,ID
52,"Camco International Group, Inc.",The Dry Creek Dairy Biofactory Project,Livestock,ID,20812,Camco International,https://www.camco.energy/,Hansen,ID
53,"Camco International Group, Inc.",The Dry Creek Dairy Biofactory® Project,Livestock,ID,95815,Camco International,https://www.camco.energy/,Hansen,ID
198,Fred M. van Eck Forest Foundation for Purdue University,The Van Eck Forest,Forest,CA,384954,Pacific Forest Trust,https://www.pacificforest.org/,Eureka,CA
379,"TMF Biofuels, LLC",TMF Biofuels Dairy Digester,Livestock,OR,162838,TMF Biofuels,0,Boardman,OR
380,"Tradewater, LLC",Tradewater ODS 1,ODS,AR,116741,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
381,"Tradewater, LLC",Tradewater ODS 10,ODS,OH,137262,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
382,"Tradewater, LLC",Tradewater ODS 11,ODS,OH,118326,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
383,"Tradewater, LLC",Tradewater ODS 12,ODS,OH,132126,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
384,"Tradewater, LLC",Tradewater ODS 13,ODS,OH,140145,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
385,"Tradewater, LLC",Tradewater ODS 14,ODS,OH,141087,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
386,"Tradewater, LLC",Tradewater ODS 15,ODS,OH,52322,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
387,"Tradewater, LLC",Tradewater ODS 16,ODS,OH,148592,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
388,"Tradewater, LLC",Tradewater ODS 17,ODS,OH,105029,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
389,"Tradewater, LLC",Tradewater ODS 18,ODS,OH,96146,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
390,"Tradewater, LLC",Tradewater ODS 19,ODS,OH,85284,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
391,"Tradewater, LLC",Tradewater ODS 2,ODS,AR,103357,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
392,"Tradewater, LLC",Tradewater ODS 20,ODS,OH,83032,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
393,"Tradewater, LLC",Tradewater ODS 21,ODS,OH,35887,Tradewater LLC,https://www.tradewater.us/,East Liverpool,OH
394,"Tradewater, LLC",Tradewater ODS 22,ODS,OH,83594,Tradewater LLC,https://www.tradewater.us/,Bowling Green,OH
395,"Tradewater, LLC",Tradewater ODS 23,ODS,OH,101230,Tradewater LLC,https://www.tradewater.us/,Bowling Green,OH
396,"Tradewater, LLC",Tradewater ODS 24,ODS,OH,83226,Tradewater LLC,https://www.tradewater.us/,Bowling Green,OH
397,"Tradewater, LLC",Tradewater ODS 3,ODS,AR,97813,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
398,"Tradewater, LLC",Tradewater ODS 4,ODS,AR,91819,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
399,"Tradewater, LLC",Tradewater ODS 5,ODS,AR,121455,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
400,"Tradewater, LLC",Tradewater ODS 6,ODS,AR,120918,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
401,"Tradewater, LLC",Tradewater ODS 7,ODS,OH,138972,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
402,"Tradewater, LLC",Tradewater ODS 8,ODS,OH,138331,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
403,"Tradewater, LLC",Tradewater ODS 9,ODS,OH,129854,Tradewater LLC,https://www.tradewater.us/,El Dorado,AR
404,"Trinity Timberlands, LLC",Trinity Timberlands University Hill Improved Forest Management Project,Forest,CA,847895,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Weaverville,CA
406,"Usal Redwood Forest Company, LLC",Usal Redwood Forest,Forest,CA,3918782,The Conservation Fund,https://www.conservationfund.org/projects/usal-redwood-forest,Mendocino,CA
407,"Usal Redwood Forest Company, LLC",Usal Redwood Forest - IFM,Forest,CA,910321,The Conservation Fund,https://www.conservationfund.org/projects/usal-redwood-forest,Mendocino,CA
29,Biothermica Coal Carbon Inc.,Vamox® Demonstration Project at JWR Shaft No. 4-9,MMC,AL,80766,Biothermica,http://www.biothermica.com/,Brookwood,AL
199,Fred M. van Eck Forest Foundation for Purdue University,Van Eck Forest,Forest,CA,10433,Pacific Forest Trust,https://www.pacificforest.org/,Eureka,CA
245,"Maas Energy Works, Inc.",Van Steyn Dairy Digester,Livestock,CA,5572,Maas Energy,https://www.maasenergy.com/,Sacramento,CA
83,ClimeCo Corporation,Vander Haak Dairy COP,Livestock,WA,9199,ClimeCo,https://climeco.com/,Lynden,WA
54,"Camco International Group, Inc.",Vanderhyde Dairy,Livestock,VA,22251,Camco International,https://www.camco.energy/,Chatham,VA
112,"Dairy Energy, Inc.",Vanderhyde Dairy,Livestock,VA,26642,Camco International,https://www.camco.energy/,Chatham,VA
409,"Van Erk Dairy, LLC",Van-Erk Dairy Digester Project,Livestock,OH,6298,Van Erk Digester,,Haviland,OH
410,"Van Erk Dairy, LLC",Van-Erk Digester Project,Livestock,OH,3739,Van Erk Digester,,Haviland,OH
411,"Verdeo McElroy, LLC",Verdeo Marshall County VAM Abatement Project,MMC,WV,776100,McElroy Green Marketing,,Glen Easton,WV
412,"Verdeo McElroy, LLC",Verdeo McElroy VAM Abatement Project,MMC,WV,197411,McElroy Green Marketing,,Glen Easton,WV
294,Philip Verwey Farms,Verwey Hanford Dairy Digester,Livestock,CA,89575,Philip Verwey,0,Hanford,CA
376,The Nature Conservancy,Virginia Conservation Forestry Program – Clifton Farm,Forest,VA,108872,The Nature Conservancy,https://www.nature.org/en-us/,Tazewell,VA
377,The Nature Conservancy,Virginia Conservation Forestry Program – Rich Mountain,Forest,VA,168281,The Nature Conservancy,https://www.nature.org/en-us/,Tazewell,VA
378,The Nature Conservancy,Virginia Conservation Forestry Program – Tazewell – Elk Garden,Forest,VA,295726,The Nature Conservancy,https://www.nature.org/en-us/,Tazewell,VA
222,"Heartwood Forestland Fund IV, Limited Partnership",Virginia Highlands I,Forest,VA,193277,Finite Carbon,https://www.finitecarbon.com/,Lebanon,VA
417,"Wabashco, LLC",Wabashco Clean Sweep 1,ODS,OH,50600,"Wabashco, Inc",0,Bowling Green,OH
418,"Wabashco, LLC",Wabashco Clean Sweep 2,ODS,OH,88044,"Wabashco, Inc",0,Bowling Green,OH
419,"Wabashco, LLC",Wabashco Clean Sweep 3,ODS,OH,112378,"Wabashco, Inc",0,Bowling Green,OH
420,"Wabashco, LLC",Wabashco Clean Sweep 4,ODS,OH,110003,"Wabashco, Inc",0,Bowling Green,OH
421,"Wabashco, LLC",Wabashco Clean Sweep 5,ODS,OH,57589,"Wabashco, Inc",0,Bowling Green,OH
422,"Wabashco, LLC",Wabashco Clean Sweep 6,ODS,OH,39036,"Wabashco, Inc",0,Bowling Green,OH
423,"Wabashco, LLC",Wabashco Clean Sweep 7,ODS,OH,116836,"Wabashco, Inc",0,Bowling Green,OH
424,"Wabashco, LLC",Wabashco Clean Sweep 8,ODS,OH,111977,"Wabashco, Inc",0,Bowling Green,OH
425,"Wabashco, LLC",Wabashco Clean Sweep 9,ODS,OH,93298,"Wabashco, Inc",0,Bowling Green,OH
440,"WTE Wakker, LLC",Wakker Digester,Livestock,WI,46487,WTE Dairies,0,Kewaunee,WI
89,Confederated Tribes of the Warm Springs Reservation of Oregon,Warm Springs Phase One,Forest,OR,2154371,Finite Carbon,https://www.finitecarbon.com/,Warm Springs,OR
55,"Camco International Group, Inc.",West River Farm Anaerobic Digester Project,Livestock,MN,95105,Camco International,https://www.camco.energy/,Morris ,MN
345,"Riverview, LLP",West River Farm Anaerobic Digester Project,Livestock,MN,60461,Riverview LLP,https://www.riverviewllp.com/,Morris ,MN
427,White Mountain Apache Tribe,White Mountain Apache Tribe Carbon Project II,Forest,AZ,6004826,White Mountain Apache Tribe,https://whitemountainapache.org/,White River,AZ
428,White Mountain Apache Tribe,White Mountain Apache Tribe Forest Carbon Project,Forest,AZ,4739827,White Mountain Apache Tribe,https://whitemountainapache.org/,White River,AZ
56,"Camco International Group, Inc.",Willet Dairy,Livestock,NY,27688,Camco International,https://www.camco.energy/,King Ferry,NY
429,"Willet Dairy, LLC",Willet Dairy,Livestock,NY,62899,Camco International,https://www.camco.energy/,King Ferry,NY
85,"Coastal Ridges LLC, a California Limited Liability Company",Willits Woods,Forest,CA,1464582,Coastal Ridges LLC,0,Mendocino,CA
86,"Coastal Ridges LLC, a California Limited Liability Company",Willits Woods IFM,Forest,CA,406051,Coastal Ridges LLC,0,Mendocino,CA
160,Environmental Credit Corp.,Will-O-Crest Farms Livestock Project,Livestock,NY,2376,ClimeCo,https://climeco.com/,Canandaigua,NY
57,"Camco International Group, Inc.","Willow Point Dairy, LLC",Livestock,MI,59212,Camco International,https://www.camco.energy/,Orleans ,MI
430,"Willow Point Dairy, LLC","Willow Point Dairy, LLC",Livestock,MI,65333,Camco International,https://www.camco.energy/,Orleans ,MI
161,Environmental Credit Corp.,Windy Ridge Dairy,Livestock,IN,37535,ClimeCo,https://climeco.com/,Fair Oaks,IN
135,"ECC Bethany, Inc.",WMMC1,MMC,WV,23060,Blue Source,http://www.bluesource.com/,Cameron ,WV
435,"Woodcrest Dairy, LLC",Woodcrest Dairy Digester,Livestock,NY,18113,Woodcrest Dairy Digester,0,Ogdenburg,NY
431,"Wilshire Stanford Offsets, LLC",WSO 2011 1,ODS,AR,87503,Wilshire Stanford Offsets,0,El Dorado,AR
432,"Wilshire Stanford Offsets, LLC",WSO 2011 2,ODS,OH,46215,Wilshire Stanford Offsets,0,El Dorado,AR
436,"WTE-Dallmann, LLC","WTE-Dallmann, LLC",Livestock,WI,67090,WTE Dairies,,Kewaunee,WI
437,"WTE-S&S Ag Enterprises, LLC","WTE-S&S Ag Enterprises, LLC",Livestock,WI,53648,WTE Dairies,,Kewaunee,WI
223,"Heartwood Forestland Fund IV, Limited Partnership",Wyoming Improved Forest Management Project,Forest,WV,4765011,Finite Carbon,https://www.finitecarbon.com/,Pikeville ,WV
21,Arlin Benner,Yippee Farms,Livestock,PA,23851,Yippee Farms,http://www.yippeefarm.com/index.html,Columbia,PA
442,Yurok Tribe,Yurok Tribe Sustainable Forest Project,Forest,CA,1330141,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Eureka,CA
443,Yurok Tribe,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Forest,CA,983651,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/,Eureka,CA
