,Offset.Project.Operator,Project.Name,Project Type,tot,Project Owner,Website
335,Upper Hudson,Finite Carbon – Upper Hudson,U.S. Forest,1139633,Finite Carbon,https://www.finitecarbon.com/
102,Downeast Lakes Land,Finite Carbon Farm Cove,U.S. Forest,229402,Finite Carbon,https://www.finitecarbon.com/
158,"Fiscalini Properties,",Fiscalini Farms Anaerobic,Livestock,17840,Fiscalini Properties,0
17,Berea College,Forest Carbon Partners –,U.S. Forest,303715,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
167,GM Gabrych Family,Forest Carbon Partners –,U.S. Forest,231958,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
207,Mescalero Apache,Forest Carbon Partners –,U.S. Forest,3719171,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
105,Eddie Ranch,Forest Carbon Partners – Eddie,U.S. Forest,222177,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
283,Ronald Glass,Forest Carbon Partners – Glass,U.S. Forest,218922,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
305,The Conservation,Garcia River Forest,U.S. Forest,254857,The Conservation Fund,https://www.conservationfund.org/
306,The Conservation,Garcia River Forest – ARB,U.S. Forest,349598,The Conservation Fund,https://www.conservationfund.org/
35,Camco International,Gardeau Crest Dairy,Livestock,22054,Camco International,https://www.camco.energy/
162,"Gardeau Crest Farms,",Gardeau Crest Dairy,Livestock,56187,Gardeau Crest,https://www.camco.energy/
163,George DeRuyter and,George DeRuyter and Sons,Livestock,28932,Terrapass,https://www.terrapass.com/project/george-deruyter-and-sons-dairy
164,GJ TeVelde Ranch,GJ TeVelde Ranch Dairy,Livestock,27942,GJ TeVelde Ranch,0
94,CTB Timberland,Green Assets – BJT Avoided,U.S. Forest,243527,Green Assets,https://www.green-assets.com/
182,Holland M. Ware,Green Assets – HMWCF-I,U.S. Forest,729216,Green Assets,https://www.green-assets.com/
183,Holland M. Ware,Green Assets – HMWCF-II,U.S Forest,548909,Green Assets,https://www.green-assets.com/
197,Lukens Island Timber,Green Assets – Lukens,U.S. Forest,199588,Green Assets,https://www.green-assets.com/
210,"Middleton Place, LLC",Green Assets – Middleton,U.S. Forest,453455,Green Assets,https://www.green-assets.com/
211,"Milbury Plantation,",Green Assets – Milbury,U.S. Forest,743046,Green Assets,https://www.green-assets.com/
24,Brookgreen Gardens,Green Assets-Brookgreen,U.S. Forest,162551,Green Assets,https://www.green-assets.com/
170,Green Diamond,Green Diamond Resource,U.S. Forest,485492,Green Diamond Resource Company,https://www.greendiamond.com/
36,Camco International,Green Meadow Farm,Livestock,4565,Camco International,https://www.camco.energy/
293,"Solvay Chemicals, Inc.",Green River Trona Mine,Mine Methane,498654,Solvay Chemicals Inc.,https://www.solvay.us/en/index.html
227,Origin Climate Inc.,Green Valley Dairy,Livestock,47304,3Degrees,https://3degreesinc.com/
171,"Green Valley Dairy,",Green Valley Dairy Methane,Livestock,66954,Terrapass,https://www.terrapass.com/
205,Mendocino Redwood,Greenwood Creek,U.S. Forest,267975,Mendocino Redwood Company,https://www.hrcllc.com/
2,"3Degrees Group, Inc.",Greenwood Dairy Anaerobic,Livestock,15735,3Degrees,https://3degreesinc.com/
173,"Grotegut Dairy Farm,","Grotegut Dairy Farm, Inc.",Livestock,43865,Terrapass,https://www.terrapass.com/
307,The Conservation,Gualala River Forest,U.S. Forest,283014,The Conservation Fund,https://www.conservationfund.org/
308,The Conservation,Gualala River Forest – ARB,U.S. Forest,235840,The Conservation Fund,https://www.conservationfund.org/
174,Hanes Ranch,Hanes Ranch Forest Carbon,U.S. Forest,102870,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
118,Environmental Credit,Herrema Dairy,Livestock,19480,ClimeCo,https://climeco.com/
119,Environmental Credit,Hidden View Dairy,Livestock,36730,ClimeCo,https://climeco.com/
99,"Davis Family Dairies,",High Island Dairy,Livestock,52086,High Island Dairy,
206,Mendocino Redwood,Hollow Tree,U.S. Forest,660635,Mendocino Redwood Company,https://www.hrcllc.com/
184,"Holsum Dairies, LLC",Holsum Elm,Livestock,48567,Holsum Dairies,www.holsumdairies.com/
185,"Holsum Dairies, LLC",Holsum Elm Dairy,Livestock,48481,Holsum Dairies,www.holsumdairies.com/
186,"Holsum Dairies, LLC",Holsum Irish Dairy,Livestock,72657,Holsum Dairies,www.holsumdairies.com/
3,"3Degrees Group, Inc.",Homestead Green Energy,Livestock,23745,3Degrees,https://3degreesinc.com/
187,Honeywell,Honeywell ODS Destruction,Ozone Depleting Substances,128072,Honeywell Refridgerants,
223,Northeast Wilderness,Howland Research Forest,U.S. Forest,39469,Northeast Wilderness Trust,www.newildernesstrust.org/wild-carbon/mitigation/
188,Hudson Technologies,Hudson Tech 2018-1,Ozone Depleting Substances,21967,Hudson Technologies,https://www.hudsontech.com/
189,Hudson Technologies,Hudson Tech 2019-1,Ozone Depleting Substances,54157,Hudson Technologies,https://www.hudsontech.com/
190,Hudson Technologies,Hudson Tech 2019-2,Ozone Depleting Substances,44551,Hudson Technologies,https://www.hudsontech.com/
191,Huron Mountain Club,Huron Mountain Club Forest,U.S. Forest,1099667,Huron Mountain Club,https://huronmountainclub.org/
192,"Ideal Family Farms,",Ideal Family Farms Digester,Livestock,21042,Ideal Family Farms,
193,"Irony, LLC",Irony,Ozone Depleting Substances,8330,"Irony, LLC",
4,"3Degrees Group, Inc.",Kettle Butte Digester,Livestock,43886,3Degrees,https://3degreesinc.com/
196,"Lamb Farms, Inc.",Lambs Dairy Digester,Livestock,29203,Lamb Dairy Digesters,
93,"CSE Operating II, LLC",Linde,Livestock,2975,Center for Sustainable Energy,https://energycenter.org/
27,California Timberlands,Lord Ellis Improved Forest,U.S. Forest,290915,California Timberlands,
199,"Mailliard Ranch, a",Mailliard Ranch,U.S. Forest,763870,The Conservation Fund,https://www.conservationfund.org/
200,"Maple Leaf Dairy, Inc.",Maple Leaf Dairy East,Livestock,25013,Maple Leaf Dairy,
201,"Maple Leaf Dairy, Inc.",Maple Leaf Dairy West,Livestock,61474,Maple Leaf Dairy,
204,McElroy Green,Marshall County VAM,Mine Methane,1045923,McElroy Green Marketing,
16,"Bascom Pacific, LLC",McCloud River,U.S. Forest,214660,Blue Source,http://www.bluesource.com/
120,Environmental Credit,Miedema Dairy,Livestock,3668,ClimeCo,https://climeco.com/
107,Edward Miller Trust,Miller Forest,U.S. Forest,243201,Edward Miller Trust,
212,"Montesol, LLC",Montesol – Forest Carbon,U.S. Forest,176441,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
216,"New Energy One, LLC",New Energy One Livestock,Livestock,192984,New Energy One,
225,"Open Sky Ranch, Inc.",Open Sky Ranch Dairy Digester,Livestock,62741,Open Sky Ranch Dairy,
230,"Pacific Rim Energy,",Pacific Rim Dairy Digester,Livestock,69292,Pacific Rim,
228,Origin Climate Inc.,Pagel's Ponderosa Dairy,Livestock,35876,3Degrees,https://3degreesinc.com/
231,Pagel's Ponderosa,Pagel's Ponderosa Dairy,Livestock,70109,Pagel's Dairy,www.pagelsponderosa.com/
121,Environmental Credit,Patterson Farms,Livestock,7682,ClimeCo,https://climeco.com/
61,ClimeCo Corporation,Patterson Farms COP,Livestock,18283,ClimeCo,https://climeco.com/
241,Pure Chem,PCS Domestic ODS,Ozone Depleting Substances,401525,A-Gas,https://www.agas.com/
234,Perfect Score,Perfect Cycle ODS-1,Ozone Depleting Substances,52500,Perfect Score Technologies,www.perfectscore.com/
235,Perfect Score,Perfect Cycle ODS-2,Ozone Depleting Substances,42233,Perfect Score Technologies,www.perfectscore.com/
236,Perfect Score,Perfect Cycle ODS-3,Ozone Depleting Substances,52930,Perfect Score Technologies,www.perfectscore.com/
237,"Perfect Score Too,",Perfect Cycle ODS-4,Ozone Depleting Substances,65097,Perfect Score Technologies,www.perfectscore.com/
239,"Pixley Biogas, LLC","Pixley Biogas, LLC",Livestock,22375,Pixley Biogas,
5,"3Degrees Group, Inc.",Port of Tillamook Bay Regional,Livestock,20133,3Degrees,https://3degreesinc.com/
242,Pure Chem,Pure Chem Domestic ODS,Ozone Depleting Substances,346815,A-Gas,https://www.agas.com/
275,Refrigerant Exchange,Refex ODS California 2010,Ozone Depleting Substances,12510,Refridgerant Exchange Corp,www.refex.com/
273,Reclamation,RemTec International ODS,Ozone Depleting Substances,371236,RemTec,http://remtec.com/
274,Reclamation,RemTec ODS Destruction,Ozone Depleting Substances,156882,RemTec,http://remtec.com/
276,"RES Agriculture NC1,",RES Ag – DM2-1 LLC,Livestock,23807,RES Agriculture,
277,"RES Agriculture NC1,",RES Ag – DM4-3 LLC,Livestock,33912,RES Agriculture,
122,Environmental Credit,Ridgecrest Dairy,Livestock,1177,ClimeCo,https://climeco.com/
278,"Rips Redwoods, LLC",Rips Redwoods,U.S. Forest,98751,Rips Redwoods,
37,Camco International,Riverview Farm Anaerobic,Livestock,131206,Camco International,https://www.camco.energy/
280,"Riverview, LLP",Riverview Farm Anaerobic,Livestock,36268,Riverview LLP,https://www.riverviewllp.com/
282,Roeslein Alternative,Roeslein Alternative Energy of,Livestock,68827,Roeslein Alternative Energy,roesleinalternativeenergy.com/
338,UW-Oshkosh,Rosendale Anaerobic Digester,Livestock,94701,Rosendale Dairy,
285,Round Valley Indian,Round Valley Indian Tribes,U.S. Forest,513385,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
244,"RapRec Refrigerants,",RR 2012 1,Ozone Depleting Substances,171993,"RapRec Refrigerants,",https://www.raprec.com/
245,"RapRec Refrigerants,",RR ACR 2013,Ozone Depleting Substances,56124,"RapRec Refrigerants,",https://www.raprec.com/
246,"RapRec Refrigerants,",RR ACR 2014,Ozone Depleting Substances,315794,"RapRec Refrigerants,",https://www.raprec.com/
290,Sierra Pacific,Sacramento Canyon ARB001,U.S. Forest,534860,Sierra Pacific Industries,https://www.spi-ind.com/
229,Origin Climate Inc.,Scenic View Dairy,Livestock,58812,3Degrees,https://3degreesinc.com/
286,"Scenic View Dairy,",Scenic View Dairy Methane,Livestock,72805,3Degrees,https://3degreesinc.com/
294,"Solvay Chemicals, Inc.","Solvay Chemicals, Inc. Waste",Mine Methane,744290,Solvay Chemicals Inc.,https://www.solvay.us/en/index.html
291,Solar & Renewables,Southern Generation,Livestock,11606,Solar & Renewables Management,
62,ClimeCo Corporation,Spruce Haven Farm COP,Livestock,17820,ClimeCo,https://climeco.com/
295,"Statz Bros., Inc.",Statz B Farm Anaerobic,Livestock,35235,Statz Bros Inc,https://www.facebook.com/statzbrothers
296,"Statz Bros., Inc.",Statz Bros. Home Farm,Livestock,20122,Statz Bros Inc,https://www.facebook.com/statzbrothers
38,Camco International,"Storms Hog Power, LLC",Livestock,17339,Camco International,https://www.camco.energy/
297,Storms Hog Power,"Storms Hog Power, LLC",Livestock,28775,Storms Hog,
292,Solar & Renewables,Stotz Southern Generation,Livestock,74777,Solar & Renewables Management,
298,Sunny Knoll Farms,Sunny Knoll Farms Anaerobic,Livestock,25793,Sunny Knoll Farms,www.sunnyknollecofarm.com/
63,ClimeCo Corporation,Sunnyside Farms COP,Livestock,76970,ClimeCo,https://climeco.com/
64,ClimeCo Corporation,Sunnyside Farms Inc,Livestock,34436,ClimeCo,https://climeco.com/
300,"Swiss Valley Farms,",Swiss Valley Farms,Livestock,6519,Swiss Valley Farms,https://www.swissvalley.com/
39,Camco International,"Synergy Biogas, LLC",Livestock,14925,Camco International,https://www.camco.energy/
301,"Synergy Biogas, LLC","Synergy Biogas, LLC",Livestock,22005,Synergy Biogas,http://ch4biogas.com/projects/synergy-biogas/
65,ClimeCo Corporation,T&M Bos Dairy,Livestock,51026,ClimeCo,https://climeco.com/
66,ClimeCo Corporation,T&M Herrema Dairy,Livestock,64228,ClimeCo,https://climeco.com/
67,ClimeCo Corporation,T&M Hidden View Dairy,Livestock,47709,ClimeCo,https://climeco.com/
68,ClimeCo Corporation,T&M Windy Ridge Dairy,Livestock,115802,ClimeCo,https://climeco.com/
45,"Cargill, Inc.",The B6 Dairy Farm,Livestock,46738,"Cargill, Inc",https://www.cargill.com/sustainability/priorities/climate-change
40,Camco International,The Dry Creek Dairy,Livestock,116627,Camco International,https://www.camco.energy/
7,"Ag Power DCD, LLC",The Dry Creek Dairy Biofactory,Livestock,201791,Camco International,https://www.camco.energy/
159,Fred M. van Eck,The Van Eck Forest,U.S. Forest,310888,Pacific Forest Trust,https://www.pacificforest.org/
310,"TMF Biofuels, LLC",TMF Biofuels Dairy Digester,Livestock,95349,TMF Biofuels,
311,"Tradewater, LLC",Tradewater ODS 1,Ozone Depleting Substances,116741,Tradewater LLC,https://www.tradewater.us/
312,"Tradewater, LLC",Tradewater ODS 10,Ozone Depleting Substances,137262,Tradewater LLC,https://www.tradewater.us/
313,"Tradewater, LLC",Tradewater ODS 11,Ozone Depleting Substances,118326,Tradewater LLC,https://www.tradewater.us/
314,"Tradewater, LLC",Tradewater ODS 12,Ozone Depleting Substances,132126,Tradewater LLC,https://www.tradewater.us/
315,"Tradewater, LLC",Tradewater ODS 13,Ozone Depleting Substances,140145,Tradewater LLC,https://www.tradewater.us/
316,"Tradewater, LLC",Tradewater ODS 14,Ozone Depleting Substances,141087,Tradewater LLC,https://www.tradewater.us/
317,"Tradewater, LLC",Tradewater ODS 15,Ozone Depleting Substances,52322,Tradewater LLC,https://www.tradewater.us/
318,"Tradewater, LLC",Tradewater ODS 16,Ozone Depleting Substances,148592,Tradewater LLC,https://www.tradewater.us/
319,"Tradewater, LLC",Tradewater ODS 17,Ozone Depleting Substances,105029,Tradewater LLC,https://www.tradewater.us/
320,"Tradewater, LLC",Tradewater ODS 18,Ozone Depleting Substances,96146,Tradewater LLC,https://www.tradewater.us/
321,"Tradewater, LLC",Tradewater ODS 19,Ozone Depleting Substances,85284,Tradewater LLC,https://www.tradewater.us/
322,"Tradewater, LLC",Tradewater ODS 2,Ozone Depleting Substances,103357,Tradewater LLC,https://www.tradewater.us/
323,"Tradewater, LLC",Tradewater ODS 20,Ozone Depleting Substances,83032,Tradewater LLC,https://www.tradewater.us/
324,"Tradewater, LLC",Tradewater ODS 21,Ozone Depleting Substances,35887,Tradewater LLC,https://www.tradewater.us/
325,"Tradewater, LLC",Tradewater ODS 22,Ozone Depleting Substances,83594,Tradewater LLC,https://www.tradewater.us/
326,"Tradewater, LLC",Tradewater ODS 23,Ozone Depleting Substances,101230,Tradewater LLC,https://www.tradewater.us/
327,"Tradewater, LLC",Tradewater ODS 3,Ozone Depleting Substances,97813,Tradewater LLC,https://www.tradewater.us/
328,"Tradewater, LLC",Tradewater ODS 4,Ozone Depleting Substances,91819,Tradewater LLC,https://www.tradewater.us/
329,"Tradewater, LLC",Tradewater ODS 5,Ozone Depleting Substances,121455,Tradewater LLC,https://www.tradewater.us/
330,"Tradewater, LLC",Tradewater ODS 6,Ozone Depleting Substances,120918,Tradewater LLC,https://www.tradewater.us/
331,"Tradewater, LLC",Tradewater ODS 7,Ozone Depleting Substances,138972,Tradewater LLC,https://www.tradewater.us/
332,"Tradewater, LLC",Tradewater ODS 8,Ozone Depleting Substances,138331,Tradewater LLC,https://www.tradewater.us/
333,"Tradewater, LLC",Tradewater ODS 9,Ozone Depleting Substances,129854,Tradewater LLC,https://www.tradewater.us/
334,"Trinity Timberlands,",Trinity Timberlands University,U.S. Forest,685099,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
336,Usal Redwood Forest,Usal Redwood Forest,U.S. Forest,3166372,The Conservation Fund,https://www.conservationfund.org/projects/usal-redwood-forest
337,Usal Redwood Forest,Usal Redwood Forest – IFM,U.S. Forest,735434,The Conservation Fund,https://www.conservationfund.org/projects/usal-redwood-forest
19,Biothermica Coal,Vamox® Demonstration Project,Mine Methane,80766,Biothermica,http://www.biothermica.com/
160,Fred M. van Eck,Van Eck Forest,U.S. Forest,8426,Pacific Forest Trust,https://www.pacificforest.org/
198,"Maas Energy Works,",Van Steyn Dairy Digester,Livestock,5572,Maas Energy,https://www.maasenergy.com/
69,ClimeCo Corporation,Vander Haak Dairy COP,Livestock,9199,ClimeCo,https://climeco.com/
41,Camco International,Vanderhyde Dairy,Livestock,22251,Camco International,https://www.camco.energy/
97,"Dairy Energy, Inc.",Vanderhyde Dairy,Livestock,26642,VanderHyde Dairy,https://www.vanderhydedairy.com/
339,"Van Erk Dairy, LLC",Van-Erk Digester Project,Livestock,10037,Van Erk Digester,
340,"Verdeo McElroy, LLC",Verdeo McElroy VAM,Mine Methane,197411,McElroy Green Marketing,
238,Philip Verwey Farms,Verwey Hanford Dairy Digester,Livestock,49518,Philip Verwey,
309,The Nature,Virginia Conservation Forestry,U.S. Forest,461121,The Nature Conservancy,https://www.nature.org/en-us/
180,Heartwood Forestland,Virginia Highlands I,U.S. Forest,156167,Finite Carbon,https://www.finitecarbon.com/
345,"Wabashco, LLC",Wabashco Clean Sweep 1,Ozone Depleting Substances,50600,"Wabashco, Inc",
346,"Wabashco, LLC",Wabashco Clean Sweep 2,Ozone Depleting Substances,88044,"Wabashco, Inc",
347,"Wabashco, LLC",Wabashco Clean Sweep 3,Ozone Depleting Substances,112378,"Wabashco, Inc",
348,"Wabashco, LLC",Wabashco Clean Sweep 4,Ozone Depleting Substances,110003,"Wabashco, Inc",
349,"Wabashco, LLC",Wabashco Clean Sweep 5,Ozone Depleting Substances,57589,"Wabashco, Inc",
350,"Wabashco, LLC",Wabashco Clean Sweep 6,Ozone Depleting Substances,39036,"Wabashco, Inc",
351,"Wabashco, LLC",Wabashco Clean Sweep 7,Ozone Depleting Substances,116836,"Wabashco, Inc",
352,"Wabashco, LLC",Wabashco Clean Sweep 8,Ozone Depleting Substances,111977,"Wabashco, Inc",
353,"Wabashco, LLC",Wabashco Clean Sweep 9,Ozone Depleting Substances,93298,"Wabashco, Inc",
367,"WTE Wakker, LLC",Wakker Digester,Livestock,46487,WTE Dairies,
75,Confederated Tribes,Warm Springs Phase One,U.S. Forest,1813212,Finite Carbon,https://www.finitecarbon.com/
42,Camco International,West River Farm Anaerobic,Livestock,95105,Camco International,https://www.camco.energy/
281,"Riverview, LLP",West River Farm Anaerobic,Livestock,60461,Riverview LLP,https://www.riverviewllp.com/
355,White Mountain,White Mountain Apache Tribe,U.S. Forest,9231669,White Mountain Apache Tribe,https://whitemountainapache.org/
43,Camco International,Willet Dairy,Livestock,27688,Camco International,https://www.camco.energy/
356,"Willet Dairy, LLC",Willet Dairy,Livestock,46721,Willet Dairy,
71,"Coastal Ridges LLC, a",Willits Woods,U.S. Forest,1150353,Coastal Ridges LLC,
72,"Coastal Ridges LLC, a",Willits Woods IFM,U.S. Forest,328088,Coastal Ridges LLC,
123,Environmental Credit,Will-O-Crest Farms Livestock,Livestock,2376,ClimeCo,https://climeco.com/
44,Camco International,"Willow Point Dairy, LLC",Livestock,59212,Camco International,https://www.camco.energy/
357,"Willow Point Dairy,","Willow Point Dairy, LLC",Livestock,65333,Willow Point Dairy,
124,Environmental Credit,Windy Ridge Dairy,Livestock,37535,ClimeCo,https://climeco.com/
362,"Woodcrest Dairy, LLC",Woodcrest Dairy Digester,Livestock,18113,Woodcrest Dairy Digester,
358,Wilshire Stanford,WSO 2011 1,Ozone Depleting Substances,87503,Wilshire Stanford Offsets,
359,Wilshire Stanford,WSO 2011 2,Ozone Depleting Substances,46215,Wilshire Stanford Offsets,
363,"WTE-Dallmann, LLC","WTE-Dallmann, LLC",Livestock,67090,WTE Dairies,
364,WTE-S&S Ag,"WTE-S&S Ag Enterprises, LLC",Livestock,53648,WTE Dairies,
181,Heartwood Forestland,Wyoming Improved Forest,U.S. Forest,3848402,Finite Carbon,https://www.finitecarbon.com/
13,Yippee Farms,Yippee Farms,Livestock,23851,Yippee Farms,http://www.yippeefarm.com/index.html
368,Yurok Tribe,Yurok Tribe Sustainable Forest,U.S. Forest,1119977,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
369,Yurok Tribe,Yurok Tribe/Forest Carbon,U.S. Forest,828233,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
